Group	Species	date	lat	lng
Central	Torpedo marmorata	2021-01-14T11:29:00+0000	28.194.262.185.205.300	-16.420.502.150.556.800
Eastern	Torpedo marmorata	2021-01-18T00:00:00+0000	28.917.799.199.336.200	-13.663.992.458.510.400
Eastern	Torpedo marmorata	2021-01-22T00:00:00+0000	28.919.078.407.109.700	-13.664.937.782.608.100
Eastern	Torpedo marmorata	2021-01-24T10:20:00+0000	28.041.882.569.580.800	-14.332.428.610.435.600
Eastern	Torpedo marmorata	2021-01-27T00:00:00+0000	28.918.966.936.796.200	-13.664.862.450.762.500
Eastern	Torpedo marmorata	2021-01-27T00:00:00+0000	28.918.966.936.796.200	-13.664.862.450.762.500
Eastern	Torpedo marmorata	2021-01-29T21:00:00+0000	28.042.880.133.991.700	-14.333.204.090.558.700
Central	Torpedo marmorata	2021-01-22T00:00:00+0000	28.399.945.394.767.800	-16.320.679.690.526.700
Central	Torpedo marmorata	2021-02-02T20:32:00+0000	28.401.900.777.550.300	-16.328.346.128.487.000
Eastern	Torpedo marmorata	2021-01-15T00:00:00+0000	28.918.536.754.292.900	-13.667.933.195.686.000
Central	Torpedo marmorata	2021-01-25T00:00:00+0000	28.399.779.890.607.500	-16.321.091.653.075.500
Central	Torpedo marmorata	2021-01-28T00:00:00+0000	28.401.506.080.449.300	-16.327.384.271.865.200
Eastern	Torpedo marmorata	2021-02-13T00:00:00+0000	28.918.958.226.934.200	-13.664.786.080.487.200
Eastern	Torpedo marmorata	2021-02-13T19:27:00+0000	28.956.328.130.362.100	-13.555.242.596.286.100
Central	Torpedo marmorata	2021-02-12T00:00:00+0000	28.401.094.897.479.400	-16.327.592.244.948.800
Central	Torpedo marmorata	2021-02-13T00:00:00+0000	28.239.542.281.399.900	-16.402.417.879.965.200
Central	Torpedo marmorata	2021-02-18T00:00:00+0000	28.399.840.960.658.100	-16.329.202.229.138.700
Eastern	Torpedo marmorata	2021-02-22T00:00:00+0000	28.918.522.821.877.100	-13.668.519.777.692.000
Eastern	Torpedo marmorata	2021-02-22T00:00:00+0000	28.918.522.821.877.100	-13.668.519.777.692.000
Central	Torpedo marmorata	2021-02-22T00:00:00+0000	28.400.193.447.848.600	-16.325.072.557.481.200
Eastern	Torpedo marmorata	2020-07-16T00:00:00+0000	28.917.933.752.519.000	-13.668.782.498.598.800
Eastern	Torpedo marmorata	2021-01-03T10:04:00+0000	28.918.042.716.894.600	-13.669.724.326.511.900
Western	Torpedo marmorata	2021-02-20T11:16:00+0000	0.000260303659091	-19.488.868.013.880.300
Eastern	Torpedo marmorata	2021-03-15T00:00:00+0000	28.916.550.559.008.500	-13.699.359.543.400.800
Central	Torpedo marmorata	2021-03-20T00:00:00+0000	28.260.471.166.935.900	-16.390.648.403.378.700
Eastern	Torpedo marmorata	2021-03-18T00:00:00+0000	28.918.675.816.289.600	-13.665.214.378.997.600
Central	Torpedo marmorata	2021-03-25T00:00:00+0000	28.141.552.048.536.200	-16.438.038.091.637.300
Eastern	Torpedo marmorata	2021-03-24T00:00:00+0000	28.920.107.077.766.300	-13.671.900.927.953.300
Eastern	Torpedo marmorata	2021-04-01T09:38:00+0000	28.917.677.363.718.300	-13.669.070.473.203.300
Eastern	Torpedo marmorata	2021-04-05T00:00:00+0000	28.915.277.212.386.400	-13.704.389.709.591.900
Eastern	Torpedo marmorata	2021-04-17T00:00:00+0000	28.919.070.833.921.600	-13.664.556.583.208.800
Eastern	Torpedo marmorata	2021-04-17T00:00:00+0000	28.919.070.833.921.600	-13.664.556.583.208.800
Eastern	Torpedo marmorata	2021-04-17T00:00:00+0000	28.919.070.833.921.600	-13.664.556.583.208.800
Western	Torpedo marmorata	2021-03-04T09:55:00+0000	0.000262319120765	-19.488.864.366.956.300
Eastern	Torpedo marmorata	2021-05-03T00:00:00+0000	28.918.886.206.191.900	-13.664.938.297.600.400
Eastern	Torpedo marmorata	2021-05-14T00:00:00+0000	28.918.377.607.526.300	-13.664.678.657.562.800
Eastern	Torpedo marmorata	2021-05-16T10:50:00+0000	28.177.187.907.108.800	-14.161.862.139.617.000
Central	Torpedo marmorata	2021-05-26T21:02:00+0000	28.401.270.631.126.300	-16.325.783.750.664.500
Eastern	Taeniurops grabata	2020-07-02T00:00:00+0000	28.389.563.813.298.100	-13.853.959.669.367.100
Eastern	Taeniurops grabata	2020-07-10T00:00:00+0000	28.852.582.948.479.700	-13.802.178.263.249.900
Central	Taeniurops grabata	2020-07-16T10:28:00+0000	28.239.755.039.994.000	-16.402.714.585.056.500
Eastern	Taeniurops grabata	2020-07-18T16:48:00+0000	28.051.080.086.983.400	-14.378.684.300.950.000
Eastern	Taeniurops grabata	2020-07-18T15:27:00+0000	28.391.678.045.664.400	-13.852.341.545.784.800
Eastern	Taeniurops grabata	2020-08-04T00:00:00+0000	28.856.452.548.113.700	-13.843.051.343.635.600
Eastern	Taeniurops grabata	2020-08-06T10:33:00+0000	28.918.333.600.000.000	-13.694.624.599.999.900
Eastern	Taeniurops grabata	2020-08-15T00:00:00+0000	28.918.671.383.415.900	-13.663.903.960.908.700
Eastern	Taeniurops grabata	2020-08-23T00:00:00+0000	28.861.079.556.618.000	-13.854.129.661.990.200
Eastern	Taeniurops grabata	2020-09-01T00:00:00+0000	28.920.167.761.595.800	-13.671.925.741.619.500
Eastern	Taeniurops grabata	2020-09-01T00:00:00+0000	28.920.167.761.595.800	-13.671.925.741.619.500
Central	Taeniurops grabata	2020-10-25T00:00:00+0000	28.192.882.355.698.100	-16.421.166.662.892.000
Eastern	Taeniurops grabata	2020-11-12T00:00:00+0000	29.267.755.136.105.000	-13.467.876.460.018.100
Eastern	Taeniurops grabata	2020-11-12T00:00:00+0000	29.267.755.136.105.000	-13.467.876.460.018.100
Eastern	Taeniurops grabata	2020-11-20T00:00:00+0000	29.083.292.362.111.200	-13.449.186.597.205.100
Western	Taeniurops grabata	2020-08-29T00:00:00+0000	28.463.765.908.387.500	-17.860.636.097.994.800
Eastern	Taeniurops grabata	2020-11-24T00:00:00+0000	29.083.248.144.363.200	-13.448.980.860.467.900
Eastern	Taeniurops grabata	2020-11-24T00:00:00+0000	29.083.248.144.363.200	-13.448.980.860.467.900
Central	Taeniurops grabata	2020-11-24T10:59:00+0000	28.193.869.887.798.200	-16.421.035.580.778.400
Eastern	Taeniurops grabata	2020-12-08T00:00:00+0000	28.918.648.198.709.100	-13.664.798.117.603.700
Eastern	Taeniurops grabata	2020-12-10T17:00:00+0000	28.042.964.012.145.800	-14.332.763.554.948.100
Eastern	Taeniurops grabata	2020-12-13T11:15:00+0000	28.043.368.545.861.900	-14.334.888.030.286.200
Central	Taeniurops grabata	2020-12-15T00:00:00+0000	28.399.541.848.580.300	-16.319.545.280.307.700
Eastern	Taeniurops grabata	2020-12-16T00:00:00+0000	28.919.729.866.882.000	-13.675.973.763.035.300
Eastern	Taeniurops grabata	2020-12-19T11:26:00+0000	28.051.542.426.854.300	-14.379.302.474.448.200
Eastern	Taeniurops grabata	2020-12-22T17:06:00+0000	28.052.053.210.797.500	-14.379.038.332.062.100
Eastern	Taeniurops grabata	2020-12-30T10:06:00+0000	28.919.773.977.082.000	-13.674.304.540.479.500
Eastern	Taeniurops grabata	2020-12-30T00:00:00+0000	28.919.712.069.942.700	-13.675.943.118.316.500
Eastern	Taeniurops grabata	2021-01-21T16:55:00+0000	28.043.012.144.925.600	-14.332.556.648.822.200
Eastern	Taeniurops grabata	2021-01-27T00:00:00+0000	28.918.966.936.796.200	-13.664.862.450.762.500
Eastern	Taeniurops grabata	2021-01-29T21:00:00+0000	28.042.880.133.991.700	-14.333.204.090.558.700
Central	Taeniurops grabata	2021-01-22T00:00:00+0000	28.278.971.728.036.700	-16.381.854.273.566.200
Eastern	Taeniurops grabata	2021-02-04T00:00:00+0000	28.515.089.661.719.900	-13.840.280.839.443.400
Eastern	Taeniurops grabata	2021-02-19T17:03:00+0000	28.042.877.593.138.400	-14.333.555.705.231.200
Eastern	Taeniurops grabata	2020-11-24T00:00:00+0000	29.273.159.415.622.600	-13.338.922.349.682.300
Eastern	Taeniurops grabata	2021-02-28T11:03:00+0000	28.160.790.384.779.700	-14.213.923.196.903.800
Central	Taeniurops grabata	2021-03-06T11:18:00+0000	28.163.576.754.695.900	-16.427.830.902.944.600
Eastern	Taeniurops grabata	2021-03-08T00:30:00+0000	28.051.791.335.686.400	-14.378.818.970.816.200
Eastern	Taeniurops grabata	2021-01-17T12:45:00+0000	28.162.486.575.391.400	-14.218.284.428.419.500
Eastern	Taeniurops grabata	2021-04-03T09:33:00+0000	28.745.670.521.914.700	-13.811.678.227.698.100
Eastern	Taeniurops grabata	2021-04-03T00:00:00+0000	28.736.290.507.828.200	-13.833.131.126.000.500
Eastern	Taeniurops grabata	2021-04-04T00:00:00+0000	28.915.277.212.386.400	-13.704.389.709.591.900
Eastern	Taeniurops grabata	2021-04-06T00:00:00+0000	28.918.272.383.151.100	-13.664.924.745.338.600
Eastern	Taeniurops grabata	2021-04-16T00:00:00+0000	29.076.349.943.190.800	-13.452.874.566.947.000
Central	Taeniurops grabata	2021-04-24T22:42:00+0000	28.274.789.104.533.400	-16.381.622.105.848.900
Central	Taeniurops grabata	2020-10-22T20:50:00+0000	28.142.153.519.879.600	-15.436.223.149.275.700
Central	Taeniurops grabata	2021-04-03T20:45:00+0000	28.141.323.487.431.400	-15.436.209.174.465.000
Western	Taeniurops grabata	2021-03-04T00:03:00+0000	0.000262319120765	-19.488.864.366.956.300
Eastern	Taeniurops grabata	2021-05-09T10:18:00+0000	28.052.005.790.455.000	-14.378.813.959.773.800
Eastern	Taeniurops grabata	2021-05-23T22:52:00+0000	28.693.763.909.253.400	-14.016.768.928.043.800
Central	Rostroraja alba	2020-11-11T21:10:00+0000	27.961.055.062.252.800	-15.377.598.168.346.900
Central	Rostroraja alba	2020-11-25T00:00:00+0000	27.963.394.437.528.500	-15.377.319.003.111.200
Eastern	Rostroraja alba	2020-12-06T11:36:00+0000	28.952.412.547.467.500	-13.550.643.512.633.600
Eastern	Rostroraja alba	2020-12-06T11:36:00+0000	28.952.412.547.467.500	-13.550.643.512.633.600
Eastern	Rostroraja alba	2021-01-12T21:18:00+0000	28.607.613.228.166.400	-13.824.079.399.053.900
Central	Rostroraja alba	2021-02-02T00:00:00+0000	28.400.658.609.459.900	-16.324.295.972.934.800
Central	Rostroraja alba	2021-02-02T20:31:00+0000	28.401.764.359.840.100	-16.328.623.825.651.900
Central	Rostroraja alba	2021-01-28T00:00:00+0000	28.273.289.442.402.300	-16.383.522.164.813.100
Central	Rostroraja alba	2021-01-28T00:00:00+0000	28.273.289.442.402.300	-16.383.522.164.813.100
Central	Rostroraja alba	2021-02-17T08:03:00+0000	28.401.408.337.316.000	-16.330.349.861.307.500
Eastern	Rostroraja alba	2020-12-06T00:00:00+0000	28.961.669.389.816.300	-13.528.854.080.551.600
Eastern	Rostroraja alba	2021-01-03T10:04:00+0000	28.918.042.716.894.600	-13.669.724.326.511.900
Central	Rostroraja alba	2020-08-15T00:00:00+0000	28.002.947.087.926.800	-16.666.326.659.375.000
Eastern	Rostroraja alba	2021-05-19T00:00:00+0000	28.918.497.782.984.600	-13.664.854.554.607.300
